Apodemus mystacinus,{ear length to notch},3
Apodemus mystacinus,{tail length},1
Apodemus pallipes,{body length},164
Apodemus pallipes,{body mass},165
Apodemus pallipes,{ear length to notch},164
Apodemus pallipes,{tail length},164
Apodemus peninsulae,{body length},274
Apodemus peninsulae,{body mass},280
Apodemus peninsulae,{ear length to notch},272
Apodemus peninsulae,{tail length},274
Apodemus semotus,{body mass},5
Apodemus semotus,{lower tooth row length},5
Apodemus semotus,{upper secondary molar tooth 1 occlusal surface width},5
Apodemus sp.,{body length},46
Apodemus sp.,{body mass},44
Apodemus sp.,{ear length to notch},44
Apodemus sp.,{tail length},46
Apodemus speciosus,{body length},22
Apodemus speciosus,{body mass},18
Apodemus speciosus,{ear length to notch},21
Apodemus speciosus,{tail length},21
Apodemus sylvaticus,{body length},44
Apodemus sylvaticus,{body mass},12
Apodemus sylvaticus,{ear length to notch},28
Apodemus sylvaticus,{tail length},39
Apodemus uralensis,{body length},269
Apodemus uralensis,{body mass},269
Apodemus uralensis,{ear length to notch},270
Apodemus uralensis,{tail length},268
Arborimus albipes,{body length},46
Arborimus albipes,{body mass},116
Arborimus albipes,{ear length to notch},8
Arborimus albipes,{tail length},47
Arborimus longicaudus,{body length},93
Arborimus longicaudus,{body mass},102
Arborimus longicaudus,{ear length to notch},80
Arborimus longicaudus,{tail length},94
Arborimus pomo,{body length},118
Arborimus pomo,{body mass},92
Arborimus pomo,{ear length to notch},116
Arborimus pomo,{lower tooth row length},5
Arborimus pomo,{tail length},119
Arborimus pomo,{upper secondary molar tooth 1 occlusal surface width},5
Arctictis binturong,{body length},3
Arctictis binturong,{body mass},3
Arctictis binturong,{ear length to notch},4
Arctictis binturong,{tail length},2
Arctocephalus australis,{body length},1
Arctocephalus forsteri,{body length},9
Arctocephalus pusillus,{body length},4
Arctocephalus townsendi,{body length},49
Arctocephalus townsendi,{body mass},21
Arctocephalus townsendi,{tail length},1
Arctocephalus tropicalis,{body length},1
Arctocephalus tropicalis,{body mass},2
Arctogalidia trivirgata,{body length},3
Arctogalidia trivirgata,{body mass},1
Arctogalidia trivirgata,{ear length to notch},3
Arctogalidia trivirgata,{tail length},3
Arctonyx collaris,{body length},1
Arctonyx collaris,{ear length to notch},1
Ardops nichollsi,{body length},72
Ardops nichollsi,{body mass},69
Ardops nichollsi,{ear length to notch},72
Arielulus cuprosus,{body length},2
Arielulus cuprosus,{body mass},2
